Speed_ref,Speed,Current,Bus_voltage,PWM
2491.36,716.11,52.936,47.11,66.1
2491.36,702.2,55.162,48.1,62.3
2491.36,723.79,52.899,47.95,69.9
2491.36,731.97,51.878,47.22,66.8
2491.36,730.17,53.269,47.13,66.3
2491.36,739.57,53.501,47.34,67.4
2491.36,760.7,53.544,47.47,69.3
2491.36,770.42,51.86,47.57,69.7
2491.36,776.67,51.659,46.3,69.2
2491.36,773.8,51.843,47.01,66.9
2491.36,753.83,51.644,47.4,63.2
2491.36,773.08,51.657,46.98,70.7
2491.36,769.55,51.712,45.98,69.6
2491.36,765.14,53.013,46.58,65.9
2491.36,785.4,50.645,46.73,70.7
2491.36,767.89,51.857,47.51,64.4
2491.36,761.13,50.566,47.29,66.3
2491.36,743.93,53.341,47.26,64.2
2491.36,731.75,52.822,47.99,63.7
2491.36,728.64,53.168,47.91,66.3
2491.36,724.93,53.53,47.56,67.2
2491.36,741.27,54.067,47.5,68.6
2491.36,760.99,53.335,47.0,69.0
2491.36,760.08,50.381,47.08,68.4
2491.36,779.08,51.431,46.57,69.3
2491.36,759.29,49.996,47.48,63.1
2491.36,749.14,51.578,47.94,65.0
2491.36,763.62,52.349,48.08,69.9
2491.36,748.2,51.402,47.49,62.8
2491.36,747.87,52.154,47.68,68.8
2491.36,763.2,51.554,46.02,68.5
2491.36,767.43,52.11,47.24,68.2
2491.36,770.46,52.738,47.22,68.5
2491.36,761.84,51.072,48.28,65.6
2491.36,729.68,51.077,47.88,60.4
2491.36,741.73,53.381,47.72,67.7
2491.36,770.19,52.786,47.66,68.7
2491.36,757.37,53.188,47.61,63.6
2491.36,744.34,52.468,48.28,66.2
2491.36,737.78,52.237,46.36,66.3
2491.36,724.57,52.537,47.7,62.4
2491.36,721.1,52.004,48.1,65.5
2491.36,719.77,49.367,46.59,65.4
2491.36,723.87,53.138,47.93,66.2
2491.36,739.55,52.925,47.09,67.8
2491.36,766.09,52.721,47.49,68.8
2491.36,771.91,51.415,47.1,66.9
2491.36,762.84,51.734,48.03,64.8
2491.36,764.8,50.173,47.37,66.3
2491.36,784.94,51.778,47.81,70.4
2491.36,794.97,52.023,47.64,69.4
2491.36,790.74,51.471,47.14,65.5
2491.36,776.39,52.571,47.84,63.8
2491.36,794.49,53.192,47.06,70.2
2491.36,784.65,52.172,47.59,64.8
2491.36,775.26,51.33,47.33,67.1
2491.36,767.11,54.043,48.0,65.0
2491.36,766.61,51.453,47.74,67.6
2491.36,776.24,53.095,47.4,69.4
2491.36,771.83,51.241,47.16,66.5
2491.36,734.45,50.148,47.09,59.1
2491.36,719.49,52.895,47.69,62.7
2491.36,710.88,51.117,47.3,62.8
2491.36,735.84,52.451,46.47,69.7
2491.36,740.58,52.486,46.81,67.3
2491.36,734.25,50.693,48.34,65.8
2491.36,752.22,53.268,47.09,69.3
2491.36,734.04,50.753,48.13,63.7
2491.36,736.27,51.602,47.34,66.2
2491.36,749.99,52.631,48.04,69.4
2491.36,730.12,51.657,48.19,63.1
2491.36,726.02,52.525,47.14,64.9
2491.36,745.21,52.751,46.39,70.6
2491.36,741.47,51.003,46.53,67.4
2491.36,743.88,52.145,47.06,68.0
2491.36,710.33,49.471,48.66,59.6
2491.36,709.44,52.452,47.33,65.5
2491.36,707.23,51.161,47.59,66.0
2491.36,691.74,52.23,48.3,61.8
2491.36,708.84,51.029,47.5,68.6
2491.36,712.44,51.212,47.56,65.9
2491.36,706.13,52.256,47.9,63.6
2491.36,736.27,51.182,47.56,69.4
2491.36,733.59,52.422,47.49,65.3
2491.36,754.64,53.549,47.06,69.4
2491.36,749.46,53.889,47.55,66.2
2491.36,745.06,50.888,48.07,65.8
2491.36,745.66,51.473,48.43,65.4
2491.36,743.72,52.461,47.68,65.7
2491.36,735.83,51.449,47.93,65.0
2491.36,718.91,51.108,47.73,63.4
2491.36,710.4,52.387,47.57,62.8
2491.36,724.34,53.144,47.76,66.7
2491.36,720.54,53.02,48.18,63.7
2491.36,719.32,51.672,47.13,64.4
2491.36,740.61,52.074,46.67,70.1
2491.36,732.84,50.551,47.27,65.6
2491.36,697.96,54.294,47.81,60.0
2491.36,720.47,52.295,47.91,67.5
2491.36,731.81,52.651,47.02,66.1
2491.36,734.47,53.388,46.28,65.8
2491.36,722.71,50.538,47.35,63.1
2491.36,744.14,53.168,47.31,69.7
2491.36,736.39,51.629,46.92,66.5
2491.36,762.18,52.646,47.05,69.2
2491.36,749.09,52.502,48.02,63.6
2491.36,749.55,52.229,47.55,66.4
2491.36,749.0,53.805,47.69,66.0
2491.36,722.35,50.675,47.48,61.3
2491.36,743.76,53.131,47.02,70.0
2491.36,757.36,51.831,47.22,70.0
2491.36,763.45,51.644,47.68,69.0
2491.36,750.94,51.014,46.87,63.0
2491.36,751.42,51.15,48.35,65.9
2491.36,722.74,51.319,47.96,60.9
2491.36,728.21,51.807,47.23,66.8
2491.36,723.59,51.251,47.97,64.5
2491.36,719.85,52.488,48.15,65.4
2491.36,745.89,53.85,47.25,69.6
2491.36,740.64,50.705,47.43,65.5
2491.36,730.36,51.321,48.32,64.4
2491.36,709.85,50.622,48.66,63.4
2491.36,718.25,52.923,47.51,66.8
2491.36,724.79,53.602,46.92,66.8
2491.36,726.78,51.09,47.26,66.7
2491.36,728.42,51.507,47.98,67.8
2491.36,731.08,51.752,46.94,68.2
2491.36,734.26,51.25,47.39,66.9
2491.36,731.97,53.856,47.71,64.7
2491.36,729.55,52.832,47.02,67.4
2491.36,718.47,51.272,48.11,64.7
2491.36,705.15,52.083,47.92,64.2
2491.36,724.26,54.539,48.4,70.0
2491.36,728.0,51.948,47.9,66.5
2491.36,726.2,52.644,47.07,65.1
2491.36,710.63,49.924,47.96,60.0
2491.36,695.28,51.997,48.05,64.7
2491.36,694.18,52.751,48.07,65.1
2491.36,707.62,51.366,47.1,66.9
2491.36,716.61,52.153,47.02,67.6
2491.36,727.49,52.37,46.89,68.1
2491.36,716.64,52.645,48.43,62.5
2491.36,720.54,52.238,47.82,66.4
2491.36,745.26,53.664,46.99,69.8
2491.36,742.53,53.149,47.61,65.2
2491.36,726.62,52.163,47.52,64.0
2491.36,709.27,53.227,47.09,64.1
2491.36,727.77,51.275,47.42,70.1
2491.36,728.72,51.68,47.65,64.7
2491.36,728.27,52.309,48.5,65.4
2491.36,749.02,52.46,47.05,70.6
2491.36,756.4,50.917,46.61,67.9
2491.36,731.24,52.401,47.08,63.1
2491.36,729.17,52.166,47.1,65.0
2491.36,716.91,52.179,47.36,64.3
2491.36,729.96,51.97,46.95,67.5
2491.36,720.12,53.413,48.0,63.7
2491.36,701.81,52.595,47.06,62.7
2491.36,716.82,52.135,47.49,67.4
2491.36,704.2,53.007,48.66,61.2
2491.36,706.58,51.97,47.79,66.4
2491.36,714.9,52.476,47.71,67.0
2491.36,739.72,51.426,48.35,69.4
2491.36,734.65,52.344,48.15,65.6
2491.36,748.71,52.54,47.81,65.8
2491.36,756.12,52.193,47.36,66.0
2491.36,733.72,52.226,47.62,62.2
2491.36,747.21,52.42,47.44,67.6
2491.36,741.76,53.581,47.3,66.6
2491.36,732.67,54.63,47.65,65.3
2491.36,752.63,50.613,47.57,70.3
2491.36,753.79,52.056,46.92,65.2
2491.36,732.97,51.372,48.47,61.6
2491.36,722.93,53.328,47.77,64.5
2491.36,727.84,52.777,47.33,68.1
2491.36,729.81,51.873,47.61,66.6
2491.36,715.54,52.275,48.06,63.6
2491.36,726.23,51.611,46.76,67.0
2491.36,745.86,52.39,47.4,68.3
2491.36,758.74,51.698,46.86,68.3
2491.36,742.09,49.189,48.86,65.6
2491.36,740.95,51.913,47.61,65.3
2491.36,748.92,53.182,46.84,68.9
2491.36,752.59,52.901,49.27,67.8
2491.36,754.86,53.615,47.24,66.5
2491.36,760.91,50.742,47.39,67.0
2491.36,774.65,51.092,47.4,67.9
2491.36,769.93,52.137,47.11,65.5
2491.36,746.93,51.142,47.76,62.3
2491.36,748.6,51.954,46.44,65.3
2491.36,750.14,52.725,48.01,67.9
2491.36,764.6,51.759,46.85,69.6
2491.36,740.61,51.129,47.4,62.9
2491.36,722.61,52.01,47.98,63.3
2491.36,736.92,51.595,47.38,67.4
2491.36,737.13,51.655,47.42,66.5
2491.36,737.13,52.371,47.01,66.2
2491.36,733.45,50.243,48.63,64.1
2491.36,745.18,52.161,47.71,68.6
2491.36,751.96,51.215,46.95,66.9
2491.36,743.7,50.122,47.66,64.3
2491.36,743.23,51.103,46.92,66.9
2491.36,720.8,51.797,48.53,61.0
2491.36,715.96,51.072,47.66,64.7
2491.36,717.85,52.376,47.03,66.0
2491.36,717.05,52.778,47.84,67.1
2491.36,704.53,51.809,47.49,62.5
2491.36,728.08,53.564,46.74,70.4
2491.36,716.14,49.936,47.79,63.3
2491.36,740.71,51.821,47.62,68.6
2491.36,741.18,50.499,48.1,65.8
2491.36,728.02,54.335,47.6,64.3
2491.36,743.09,53.211,47.48,69.0
2491.36,748.2,51.04,47.58,66.6
2491.36,755.03,51.475,48.24,68.5
2491.36,762.58,52.085,47.31,67.7
2491.36,761.34,53.829,47.7,67.7
2491.36,748.49,53.582,47.88,64.3
2491.36,742.38,51.624,47.75,64.1
2491.36,731.36,52.486,47.39,64.4
2491.36,747.45,50.79,47.49,68.9
2491.36,754.08,51.041,47.42,67.8
2491.36,755.06,51.908,48.51,65.6
2491.36,767.86,52.612,47.21,68.7
2491.36,765.78,52.687,47.07,65.7
2491.36,769.09,52.95,47.46,67.9
2491.36,763.53,51.469,47.46,66.9
2491.36,741.75,52.718,47.66,64.5
2491.36,788.5,52.884,47.04,74.3
2491.36,766.89,51.593,47.63,64.2
2491.36,769.88,54.545,47.52,68.2
2491.36,744.66,51.505,48.1,61.7
2491.36,741.28,52.121,47.56,66.2
2491.36,742.21,53.606,47.6,65.1
2491.36,727.61,52.282,47.81,64.9
2491.36,732.22,52.775,47.94,66.6
2491.36,759.6,53.045,46.89,70.5
2491.36,770.98,51.151,46.81,68.7
2491.36,777.7,51.001,48.3,68.3
2491.36,748.89,50.176,47.98,62.4
2491.36,755.89,52.917,47.35,68.0
2491.36,772.17,52.784,47.44,68.9
2491.36,769.68,51.69,47.3,66.8
2491.36,765.53,51.814,47.59,67.1
2491.36,760.49,52.431,47.07,64.7
2491.36,776.7,51.597,47.8,70.7
2491.36,765.69,52.223,47.62,65.7
2491.36,756.86,52.873,47.64,65.6
2491.36,736.51,51.035,47.19,62.0
2491.36,751.74,49.992,47.72,68.0
2491.36,750.52,49.612,47.08,66.2
2491.36,751.52,50.855,47.14,67.2
2491.36,737.13,51.26,47.61,64.4
2491.36,737.31,51.951,48.8,65.1
2491.36,746.63,52.489,47.52,68.9
2491.36,773.37,50.959,46.02,73.3
2491.36,785.93,51.411,47.1,69.4
2491.36,759.73,51.451,47.97,62.3
2491.36,756.0,51.627,46.92,67.1
2491.36,746.45,50.676,47.99,64.0
2491.36,759.33,50.88,47.59,66.3
2491.36,742.55,48.733,48.09,63.4
2491.36,728.39,51.636,47.33,63.1
2491.36,745.97,52.145,47.1,69.5
2491.36,732.94,50.645,47.86,64.0
2491.36,728.61,50.934,47.52,66.0
2491.36,726.42,52.241,47.52,64.9
2491.36,728.62,52.282,48.27,67.1
2491.36,758.11,51.255,47.69,70.3
2491.36,757.66,52.254,46.56,64.9
2491.36,747.82,52.043,47.95,65.0
2491.36,744.76,51.854,47.86,66.3
2491.36,734.15,51.126,48.17,64.0
2491.36,731.03,51.89,47.11,63.8
2491.36,744.23,51.067,47.55,70.4
2491.36,749.14,50.977,47.54,67.3
2491.36,761.03,53.472,46.93,69.6
2491.36,747.6,51.125,48.02,65.1
2491.36,763.14,53.27,47.29,69.8
2491.36,771.88,51.83,48.02,68.6
2491.36,764.72,53.204,47.17,65.3
2491.36,750.76,51.83,46.85,63.9
2491.36,722.94,50.944,47.53,61.8
2491.36,740.98,50.551,47.57,68.3
2491.36,753.9,52.82,47.19,68.2
2491.36,769.08,53.316,45.91,68.6
2491.36,741.32,51.167,47.85,61.5
2491.36,731.04,52.132,47.75,64.6
2491.36,718.59,51.529,47.96,62.7
2491.36,733.32,51.857,47.24,69.0
2491.36,722.2,51.203,47.35,64.3
2491.36,732.71,52.69,48.22,66.6
2491.36,742.11,52.213,46.69,67.3
2491.36,742.07,52.927,47.38,66.5
2491.36,699.13,52.578,47.78,59.7
2491.36,709.11,51.872,47.82,66.0
2491.36,736.47,53.216,47.46,70.8
2491.36,731.16,50.356,47.06,65.8
2491.36,741.71,52.381,48.06,67.6
2491.36,734.92,51.954,47.6,63.4
2491.36,751.45,51.297,46.59,69.3
2491.36,763.57,51.972,47.55,68.4
2491.36,766.9,52.552,47.74,66.7
2491.36,726.17,52.079,48.67,60.3
2491.36,714.68,52.46,47.77,64.5
2491.36,710.47,53.099,46.81,65.0
2491.36,697.21,50.593,46.86,63.9
2491.36,692.91,51.714,48.21,63.9
2491.36,728.15,52.949,46.96,71.3
2491.36,746.21,53.435,46.6,70.7
2491.36,736.92,52.535,48.05,64.9
2491.36,735.77,51.973,47.29,65.6
2491.36,735.53,53.079,47.98,66.5
2491.36,718.14,49.896,47.19,61.9
2491.36,711.97,50.095,48.33,63.7
2491.36,711.25,51.425,47.94,66.5
2491.36,701.6,50.525,47.2,64.7
2491.36,741.85,51.796,46.47,73.2
2491.36,727.58,51.459,48.75,63.3
2491.36,711.52,53.178,47.49,63.4
2491.36,693.84,51.788,47.21,63.7
2491.36,671.52,50.897,48.36,61.2
2491.36,669.2,52.818,48.07,63.5
2491.36,671.24,51.805,48.16,64.5
2491.36,685.44,53.116,47.4,68.4
2491.36,706.71,50.897,48.45,66.4
2491.36,756.56,54.9,46.61,74.3
2491.36,762.09,52.779,47.16,68.7
2491.36,747.78,50.518,47.77,64.0
2491.36,738.81,52.246,48.17,63.7
2491.36,743.38,50.406,47.78,68.4
2491.36,762.57,52.494,47.39,69.0
2491.36,769.45,52.134,47.24,67.3
2491.36,770.38,51.715,48.1,66.4
2491.36,759.29,53.909,47.95,64.4
2491.36,745.99,50.001,47.13,64.5
2491.36,751.33,50.765,47.01,67.9
2491.36,758.1,51.634,47.24,66.3
2491.36,761.13,51.872,47.19,65.8
2491.36,741.98,52.685,48.15,62.2
2491.36,738.94,50.698,47.75,65.4
2491.36,725.47,51.979,47.87,63.7
2491.36,719.23,51.999,47.65,64.8
2491.36,710.01,53.271,47.7,63.9
2491.36,711.15,54.486,46.72,66.3
2491.36,714.61,53.063,47.9,66.7
2491.36,723.4,52.413,47.19,67.7
2491.36,729.31,52.906,47.51,65.8
2491.36,716.84,51.524,47.42,61.4
2491.36,747.41,52.939,47.45,70.8
2491.36,757.15,51.69,47.82,65.5
2491.36,746.25,51.826,47.04,65.0
2491.36,749.74,52.769,47.65,66.0
2491.36,758.21,52.839,47.23,68.3
2491.36,759.75,52.255,48.15,67.1
2491.36,770.74,52.398,46.88,68.7
2491.36,786.74,51.48,46.9,70.0
2491.36,761.95,50.991,47.45,62.5
2491.36,778.97,51.032,46.98,68.6
2491.36,760.53,50.694,47.48,63.6
2491.36,753.03,50.842,47.26,65.8
2491.36,761.25,53.94,47.5,68.1
2491.36,764.73,51.145,48.02,66.2
2491.36,761.51,51.057,47.62,64.0
2491.36,739.15,53.571,47.68,63.5
2491.36,742.37,52.26,46.98,66.3
2491.36,732.53,52.777,47.5,64.5
2491.36,724.47,53.391,47.38,63.6
2491.36,736.7,50.918,47.84,66.8
2491.36,719.19,51.222,47.25,62.3
2491.36,737.07,52.699,46.99,69.4
2491.36,738.97,51.584,47.67,66.3
2491.36,715.1,53.176,48.64,61.5
2491.36,711.39,52.419,47.45,65.2
2491.36,708.3,51.089,47.67,63.6
2491.36,722.0,51.197,48.01,65.4
2491.36,744.06,52.825,47.66,69.9
2491.36,736.0,51.493,47.84,63.8
2491.36,730.92,51.53,47.55,63.5
2491.36,709.39,52.637,47.61,61.8
2491.36,724.58,51.632,47.06,68.9
2491.36,709.93,52.119,47.86,62.8
2491.36,723.97,52.369,47.69,68.2
2491.36,723.14,52.046,47.9,65.3
2491.36,742.68,52.607,47.18,69.2
2491.36,734.76,52.01,47.95,65.6
2491.36,726.48,51.754,48.15,64.0
2491.36,749.02,49.547,46.75,71.5
2491.36,748.9,52.225,47.34,67.0
2491.36,737.75,51.298,48.22,62.2
2491.36,741.87,52.855,47.23,65.0
2491.36,756.9,52.37,47.68,69.4
2491.36,742.79,52.184,47.57,64.5
2491.36,748.28,52.814,47.71,65.1
2491.36,759.43,54.272,47.39,70.8
2491.36,717.15,49.607,48.09,59.5
2491.36,729.58,53.252,46.95,67.9
2491.36,740.89,51.312,47.04,66.8
2491.36,751.91,54.611,48.18,68.4
2491.36,752.29,51.989,48.54,66.9
2491.36,739.48,51.452,47.59,63.6
2491.36,736.9,51.823,48.35,66.9
2491.36,721.05,52.547,47.2,64.0
2491.36,730.32,54.424,47.14,69.7
2491.36,739.1,53.232,48.16,68.9
2491.36,731.06,52.571,47.96,64.6
2491.36,731.5,51.626,48.31,66.5
2491.36,731.79,50.199,47.79,64.8
2491.36,743.77,52.915,46.99,66.7
2491.36,755.3,51.087,47.55,68.7
2491.36,745.78,54.1,48.14,65.4
2491.36,746.9,53.708,47.46,65.9
2491.36,711.98,53.639,47.45,63.6
2491.36,713.76,52.696,47.7,68.1
2491.36,716.12,54.139,47.19,67.8
2491.36,698.68,54.274,47.74,63.6
2491.36,686.98,53.842,47.64,63.1
2491.36,695.62,54.904,47.17,69.5
2491.36,667.66,53.807,48.13,62.1
2491.36,669.12,56.076,47.84,66.2
2491.36,680.75,54.179,47.29,67.6
2491.36,678.79,54.443,47.48,66.9
2491.36,716.39,54.37,47.15,73.7
2491.36,734.04,54.397,47.08,69.9
2491.36,733.97,53.651,46.65,66.8
2491.36,735.08,53.12,47.19,69.0
2491.36,724.14,53.169,47.18,67.0
2491.36,694.34,55.781,47.66,63.2
2491.36,683.61,53.875,47.77,65.1
2491.36,674.09,55.728,47.15,65.0
2491.36,687.77,55.792,47.65,67.9
2491.36,695.16,52.677,46.97,68.3
2491.36,690.84,53.055,47.46,66.1
2491.36,719.59,55.309,47.06,71.3
2491.36,705.74,54.922,47.9,65.8
2491.36,711.84,54.493,47.53,67.5
2491.36,723.19,53.156,47.42,67.5
2491.36,724.24,53.673,47.2,66.2
2491.36,716.83,54.278,47.34,66.4
2491.36,701.99,54.206,48.47,64.8
2491.36,699.16,53.934,47.23,67.4
2491.36,718.69,55.657,47.64,70.0
2491.36,710.83,52.88,47.5,64.8
2491.36,687.16,53.616,47.83,63.3
2491.36,701.3,54.027,47.85,69.1
2491.36,692.61,54.64,47.39,64.5
